Calibrating on core 9...
Startup: 0.000000

loopreps\sleep:          0       500      1000      1500      2000      2500      3000      3500      4000      4500      5000      5500      6000      6500      7000      7500      8000      8500      9000      9500     10000     10500     11000     11500     12000     12500     13000     13500     14000     14500     15000     15500     16000     16500     17000     17500     18000     18500     19000     19500     20000     20500     21000     21500     22000     22500     23000     23500     24000     24500     25000
            5000    1.0000    0.2600    0.0433    0.0433    0.0400    0.2333    0.1900    0.1628    0.1600    0.1600    0.1367    0.1296    0.1233    0.1096    0.1096    0.1033    0.1033    0.0897    0.0867    0.0897    0.0800    0.0831    0.0736    0.0728    0.0667    0.0698    0.0633    0.0629    0.0631    0.0598    0.0567    0.0563    0.0565    0.0533    0.0500    0.0500    0.0500    0.0497    0.0467    0.0464    0.0432    0.0464    0.0433    0.0399    0.0400    0.0400    0.0400    0.0400    0.0367    0.0364    0.0363
           10000    1.0000    0.3355    0.2800    0.2000    0.2000    0.2000    0.1667    0.1667    0.1462    0.1267    0.1262    0.1267    0.1200    0.1030    0.1030    0.0967    0.0933    0.0900    0.0927    0.0797    0.0767    0.0767    0.0731    0.0700    0.0662    0.0664    0.0631    0.0631    0.0598    0.0567    0.0565    0.0563    0.0533    0.0533    0.0533    0.0467    0.0467    0.0498    0.0467    0.0432    0.0464    0.0432    0.0399    0.0432    0.0400    0.0400    0.0397    0.0397    0.0364    0.0363    0.0365
           15000    1.0000    0.5000    0.4000    0.3987    0.3667    0.2867    0.2867    0.2857    0.2625    0.2500    0.2207    0.2159    0.1993    0.2000    0.2000    0.1728    0.1667    0.1667    0.1533    0.1561    0.1495    0.1329    0.1329    0.1333    0.1296    0.1233    0.1192    0.1163    0.1130    0.1096    0.1130    0.0997    0.1000    0.1000    0.0967    0.0963    0.0930    0.0864    0.0864    0.0894    0.0836    0.0831    0.0800    0.0828    0.0762    0.0764    0.0764    0.0728    0.0726    0.0726    0.0667
           20000    1.0000    0.5183    0.5017    0.5000    0.4567    0.4300    0.4047    0.3543    0.3333    0.3322    0.3289    0.2977    0.2724    0.2733    0.2517    0.2500    0.2500    0.2167    0.2159    0.2152    0.2033    0.2000    0.1927    0.1833    0.1788    0.1761    0.1767    0.1633    0.1595    0.1572    0.1518    0.1500    0.1500    0.1362    0.1391    0.1358    0.1329    0.1296    0.1291    0.1229    0.1192    0.1200    0.1229    0.1133    0.1122    0.1096    0.1089    0.1060    0.1067    0.1026    0.0990
           25000    1.0000    0.6667    0.6667    0.5367    0.5000    0.5000    0.4833    0.4433    0.4238    0.4000    0.3633    0.3633    0.3654    0.3267    0.3090    0.3077    0.2881    0.2857    0.2867    0.2591    0.2492    0.2500    0.2483    0.2359    0.2267    0.2226    0.2100    0.2126    0.2100    0.1987    0.1900    0.1900    0.1860    0.1794    0.1821    0.1722    0.1683    0.1667    0.1661    0.1600    0.1561    0.1528    0.1485    0.1490    0.1485    0.1395    0.1391    0.1391    0.1358    0.1333    0.1329
           30000    1.0000    0.7133    0.6700    0.6246    0.6254    0.5482    0.5017    0.5000    0.5000    0.4551    0.4333    0.4167    0.3854    0.3846    0.3854    0.3533    0.3344    0.3333    0.3256    0.3123    0.3123    0.2933    0.2791    0.2767    0.2791    0.2625    0.2558    0.2500    0.2392    0.2367    0.2392    0.2267    0.2185    0.2167    0.2152    0.2093    0.2086    0.2000    0.1927    0.1921    0.1927    0.1848    0.1800    0.1788    0.1743    0.1728    0.1722    0.1667    0.1628    0.1600    0.1623
           35000    1.0000    0.7400    0.6867    0.6678    0.6645    0.6000    0.6000    0.5467    0.5017    0.4983    0.5000    0.4633    0.4404    0.4286    0.4133    0.4000    0.4000    0.3854    0.3533    0.3522    0.3522    0.3355    0.3300    0.3167    0.3003    0.2990    0.3000    0.2881    0.2742    0.2739    0.2667    0.2625    0.2591    0.2525    0.2409    0.2400    0.2400    0.2318    0.2292    0.2219    0.2145    0.2126    0.2145    0.2086    0.2020    0.2000    0.1980    0.1927    0.1933    0.1914    0.1833
           40000    1.0000    0.7767    0.7700    0.7176    0.6346    0.6367    0.6367    0.5847    0.5800    0.5382    0.5133    0.4983    0.5017    0.4884    0.4419    0.4385    0.4352    0.4120    0.4120    0.4020    0.3679    0.3688    0.3679    0.3510    0.3467    0.3333    0.3245    0.3189    0.3179    0.3146    0.2957    0.2900    0.2924    0.2809    0.2791    0.2724    0.2583    0.2607    0.2583    0.2533    0.2467    0.2417    0.2367    0.2343    0.2333    0.2318    0.2193    0.2167    0.2193    0.2126    0.2133
           45000    1.0000    0.7973    0.8000    0.7267    0.7276    0.7000    0.6233    0.6146    0.6154    0.5927    0.5667    0.5333    0.5282    0.5017    0.4983    0.5000    0.4503    0.4433    0.4452    0.4205    0.4200    0.4120    0.3854    0.3821    0.3800    0.3742    0.3600    0.3477    0.3455    0.3344    0.3333    0.3322    0.3090    0.3079    0.3090    0.2947    0.2970    0.2890    0.2805    0.2757    0.2748    0.2724    0.2658    0.2567    0.2583    0.2500    0.2492    0.2483    0.2376    0.2343    0.2351
           50000    1.0000    0.7400    0.7100    0.7475    0.7475    0.6977    0.6856    0.6545    0.6312    0.6013    0.6000    0.6000    0.5548    0.5282    0.5282    0.5000    0.5017    0.4983    0.4536    0.4503    0.4500    0.4400    0.4300    0.4139    0.4067    0.3920    0.3907    0.3920    0.3675    0.3600    0.3600    0.3477    0.3455    0.3455    0.3245    0.3212    0.3201    0.3167    0.3113    0.3023    0.2990    0.2900    0.2890    0.2924    0.2748    0.2733    0.2724    0.2658    0.2640    0.2649    0.2517
