Calibrating on core 9...
Startup: 0.000000

loopreps\sleep:          0       500      1000      1500      2000      2500      3000      3500      4000      4500      5000      5500      6000      6500      7000      7500      8000      8500      9000      9500     10000     10500     11000     11500     12000     12500     13000     13500     14000     14500     15000     15500     16000     16500     17000     17500     18000     18500     19000     19500     20000     20500     21000     21500     22000     22500     23000     23500     24000     24500     25000
           55000    1.0000    0.7143    0.7133    0.7133    0.7176    0.7143    0.7143    0.7110    0.6667    0.6388    0.6246    0.5880    0.5880    0.5880    0.5449    0.5267    0.5267    0.5083    0.5000    0.4983    0.4700    0.4551    0.4536    0.4536    0.4352    0.4205    0.4167    0.3993    0.4000    0.3754    0.2326    0.2791    0.3696    0.3642    0.3576    0.3543    0.3432    0.3333    0.3333    0.3333    0.3223    0.3133    0.3123    0.3036    0.3023    0.3033    0.2904    0.2867    0.2848    0.2833    0.2781
           60000    1.0000    0.7267    0.7267    0.7276    0.7167    0.7100    0.7309    0.6877    0.6877    0.6854    0.6467    0.6179    0.6113    0.5867    0.5767    0.5800    0.5500    0.5233    0.5232    0.5233    0.4983    0.4967    0.4768    0.4603    0.4567    0.4585    0.4404    0.4247    0.4224    0.4133    0.4073    0.4067    0.3927    0.3787    0.3808    0.3775    0.3667    0.3621    0.3533    0.3455    0.3433    0.3444    0.3333    0.3212    0.3234    0.3201    0.3146    0.3133    0.3059    0.2970    0.2970
           65000    1.0000    0.7807    0.7267    0.7010    0.7233    0.7309    0.6977    0.6967    0.6478    0.6192    0.6133    0.6146    0.6113    0.5648    0.5533    0.5482    0.5267    0.5282    0.5249    0.4801    0.4817    0.4818    0.4651    0.4636    0.4415    0.4323    0.4286    0.4257    0.4286    0.3993    0.3960    0.3940    0.3821    0.3841    0.3795    0.3567    0.3588    0.3588    0.3477    0.3510    0.3355    0.3311    0.3245    0.3267    0.3333    0.3069    0.3079    0.3069    0.2970    0.3033    0.2933
           70000    1.0000    0.7500    0.7267    0.7176    0.7400    0.7076    0.7076    0.7043    0.6877    0.6578    0.6312    0.6246    0.6026    0.6000    0.6013    0.5464    0.5449    0.5464    0.5216    0.5216    0.5067    0.4851    0.4801    0.4800    0.4735    0.4536    0.4455    0.4433    0.4290    0.4305    0.4257    0.4007    0.4000    0.4000    0.3887    0.3867    0.3775    0.3675    0.3654    0.3633    0.3609    0.3477    0.3444    0.3422    0.3333    0.3344    0.3300    0.3167    0.3167    0.3156    0.3079
           75000    1.0000    0.7793    0.7367    0.7000    0.7000    0.7285    0.7224    0.7086    0.6833    0.6844    0.6833    0.6358    0.6200    0.6200    0.5894    0.5914    0.5867    0.5449    0.5413    0.5418    0.5316    0.5200    0.5000    0.4983    0.4818    0.4801    0.4818    0.4551    0.4485    0.4485    0.4342    0.4333    0.4267    0.4106    0.4067    0.4073    0.4020    0.3920    0.3828    0.3808    0.3721    0.3721    0.3721    0.3543    0.3520    0.3498    0.3444    0.3433    0.3377    0.3289    0.3234
           80000    1.0000    0.7774    0.7333    0.7483    0.7708    0.7767    0.7741    0.7342    0.7020    0.7000    0.6667    0.6667    0.6667    0.6213    0.6080    0.6093    0.5947    0.5833    0.5733    0.5567    0.5380    0.5382    0.5382    0.5183    0.5000    0.5000    0.4833    0.4834    0.4818    0.4567    0.4533    0.4518    0.4437    0.4385    0.4305    0.4238    0.4106    0.4125    0.4125    0.3960    0.3894    0.3874    0.3795    0.3795    0.3783    0.3621    0.3588    0.3600    0.3564    0.3500    0.3455
           85000    1.0000    0.8000    0.8000    0.7700    0.7342    0.7774    0.7542    0.7367    0.7367    0.7110    0.6821    0.6811    0.6645    0.6523    0.6512    0.6200    0.6007    0.6000    0.6000    0.5781    0.5629    0.5563    0.5364    0.5347    0.5364    0.5133    0.5000    0.5000    0.4934    0.4833    0.4850    0.4669    0.4551    0.4533    0.4551    0.4404    0.4338    0.4286    0.4172    0.4172    0.4158    0.4053    0.3933    0.3953    0.3907    0.3867    0.3828    0.3733    0.3663    0.3663    0.3651
           90000    1.0000    0.7291    0.7276    0.7267    0.7508    0.7309    0.7533    0.7475    0.7500    0.7167    0.7133    0.6954    0.6645    0.6667    0.6667    0.6400    0.6391    0.6139    0.5927    0.5927    0.5927    0.5714    0.5563    0.5515    0.5397    0.5333    0.5333    0.5167    0.5000    0.5000    0.4983    0.4850    0.4817    0.4719    0.4567    0.4570    0.4585    0.4452    0.4323    0.4342    0.4257    0.4233    0.4200    0.4100    0.4000    0.4000    0.4000    0.3914    0.3854    0.3828    0.3721
           95000    1.0000    0.8505    0.8161    0.7483    0.7500    0.7641    0.7748    0.7748    0.7433    0.7252    0.6887    0.6500    0.6500    0.6589    0.6400    0.6391    0.6400    0.6106    0.5980    0.5867    0.5776    0.5629    0.5515    0.5629    0.5349    0.5333    0.5281    0.5067    0.5066    0.5033    0.4850    0.4884    0.4785    0.4833    0.4702    0.4667    0.4603    0.4533    0.4518    0.4485    0.4342    0.4356    0.4352    0.4233    0.4267    0.4139    0.4059    0.4040    0.4059    0.3960    0.3920
          100000    1.0000    0.8173    0.7533    0.7500    0.7500    0.7508    0.7508    0.7500    0.7318    0.7152    0.6711    0.6623    0.6722    0.6667    0.6700    0.6457    0.6213    0.6192    0.6192    0.6080    0.5947    0.6000    0.5947    0.5644    0.5629    0.5611    0.5166    0.5316    0.5249    0.5132    0.5033    0.4967    0.4917    0.4868    0.4884    0.4868    0.4733    0.4686    0.4704    0.4587    0.4605    0.4536    0.4352    0.4305    0.4375    0.4300    0.4272    0.4186    0.4112    0.4092    0.4046
          105000    1.0000    0.8567    0.8100    0.7700    0.7674    0.7674    0.7533    0.7500    0.7252    0.7133    0.7143    0.7000    0.6799    0.6711    0.6689    0.6656    0.6545    0.6312    0.6146    0.6300    0.6333    0.6283    0.5719    0.5667    0.5658    0.5400    0.5563    0.5464    0.5249    0.5199    0.5199    0.5199    0.5166    0.5000    0.4967    0.4917    0.4917    0.4934    0.4768    0.4733    0.4767    0.4518    0.4518    0.4536    0.4455    0.4400    0.4400    0.4371    0.4300    0.4186    0.4186
          110000    1.0000    0.8333    0.8173    0.7567    0.7608    0.7508    0.7741    0.7508    0.7285    0.7143    0.7375    0.7129    0.7053    0.6910    0.6744    0.6623    0.6556    0.6490    0.6656    0.6106    0.6113    0.5993    0.5960    0.5927    0.5600    0.5497    0.5500    0.5500    0.5449    0.5400    0.5380    0.5331    0.5333    0.5282    0.5167    0.5066    0.5050    0.5000    0.5000    0.5000    0.4718    0.4636    0.4702    0.4686    0.4620    0.4551    0.4507    0.4452    0.4437    0.4404    0.4276
          115000    1.0000    0.8467    0.8467    0.8367    0.7807    0.7567    0.7492    0.7500    0.7133    0.7367    0.7243    0.7200    0.7063    0.7033    0.6900    0.6910    0.6921    0.6379    0.6379    0.6391    0.6225    0.5894    0.5974    0.5667    0.5781    0.5686    0.5728    0.5611    0.5652    0.5413    0.5512    0.5364    0.5362    0.5281    0.5296    0.5249    0.5200    0.5017    0.4885    0.4767    0.4751    0.4868    0.4803    0.4718    0.4719    0.4737    0.4651    0.4533    0.4521    0.4422    0.4441
          120000    1.0000    0.8007    0.7874    0.7841    0.7533    0.7333    0.7375    0.7567    0.7285    0.7276    0.7243    0.7185    0.7076    0.7167    0.7303    0.6900    0.6755    0.6523    0.6424    0.6233    0.6333    0.6279    0.6013    0.5927    0.5875    0.5880    0.5894    0.5781    0.5545    0.5548    0.5596    0.5596    0.5578    0.5449    0.5515    0.5347    0.5216    0.5133    0.5050    0.4868    0.5000    0.4983    0.4917    0.4884    0.4803    0.4733    0.4702    0.4669    0.4653    0.4507    0.4518
          125000    1.0000    0.9067    0.8571    0.8106    0.8000    0.7500    0.7508    0.7475    0.7367    0.7252    0.7243    0.7233    0.7176    0.7318    0.6854    0.6656    0.6589    0.6589    0.6578    0.6258    0.6167    0.6172    0.6080    0.6146    0.6060    0.5833    0.5875    0.5533    0.5629    0.5662    0.5548    0.5559    0.5497    0.5500    0.5515    0.5197    0.5017    0.5000    0.5000    0.5033    0.5017    0.4868    0.4884    0.4868    0.4817    0.4784    0.4653    0.4605    0.4554    0.4554    0.4572
          130000    1.0000    0.8571    0.8040    0.8000    0.7973    0.7841    0.7900    0.7500    0.7500    0.7500    0.7276    0.7200    0.7176    0.7152    0.7000    0.6844    0.6645    0.6645    0.6457    0.6379    0.6358    0.6295    0.6233    0.6192    0.6159    0.6106    0.5947    0.5900    0.5861    0.5814    0.5795    0.5677    0.5500    0.5493    0.5367    0.5300    0.5249    0.5116    0.5167    0.5166    0.5116    0.5116    0.4950    0.4917    0.4934    0.4851    0.4868    0.4684    0.4684    0.4651    0.4605
          135000    1.0000    0.8970    0.8667    0.8113    0.8133    0.8113    0.7567    0.7309    0.7133    0.7143    0.7309    0.7243    0.7119    0.6900    0.6997    0.6856    0.6910    0.6645    0.6556    0.6567    0.6512    0.6478    0.6312    0.6146    0.6013    0.6086    0.6106    0.6026    0.6000    0.6000    0.5800    0.5757    0.5748    0.5467    0.5300    0.5233    0.5267    0.5282    0.5316    0.5232    0.5150    0.5132    0.5116    0.5066    0.4934    0.4934    0.4868    0.4868    0.4850    0.4704    0.4600
          140000    1.0000    0.8667    0.8667    0.7914    0.7667    0.7641    0.7967    0.7900    0.7433    0.7276    0.7409    0.7209    0.7185    0.7176    0.6944    0.6854    0.6811    0.6833    0.6844    0.6689    0.6612    0.6467    0.6391    0.6246    0.6279    0.6279    0.6250    0.6246    0.6254    0.5980    0.5753    0.5738    0.5767    0.5733    0.5515    0.5467    0.5428    0.5430    0.5461    0.5364    0.5267    0.5216    0.5164    0.5083    0.5083    0.5000    0.5000    0.5000    0.4916    0.4900    0.4784
          145000    1.0000    0.8742    0.8738    0.8767    0.8239    0.7841    0.7774    0.7367    0.7367    0.7367    0.7010    0.7110    0.7143    0.7185    0.6821    0.7053    0.6944    0.6821    0.6667    0.6711    0.6623    0.6469    0.6512    0.6523    0.6533    0.6478    0.6291    0.6250    0.6106    0.6013    0.5987    0.5781    0.5533    0.5493    0.5500    0.5526    0.5681    0.5526    0.5397    0.5377    0.5385    0.5329    0.5213    0.5183    0.5148    0.5213    0.5182    0.4984    0.4850    0.4803    0.4800
          150000    1.0000    0.8642    0.8233    0.8239    0.8033    0.7774    0.7733    0.7285    0.6987    0.7000    0.7000    0.7110    0.7176    0.7119    0.7152    0.7167    0.7176    0.6977    0.6755    0.6700    0.6722    0.6601    0.6743    0.6733    0.6533    0.6513    0.6500    0.6300    0.6033    0.6000    0.6000    0.5980    0.5767    0.5743    0.5700    0.5677    0.5677    0.5615    0.5600    0.5413    0.5347    0.5296    0.5364    0.5316    0.5197    0.5200    0.5133    0.5100    0.5000    0.4934    0.4885
          155000    1.0000    0.9369    0.8833    0.8538    0.8306    0.7900    0.7900    0.7900    0.7433    0.7143    0.7133    0.7020    0.6811    0.7276    0.7133    0.7119    0.7067    0.7053    0.6900    0.6865    0.6990    0.7007    0.7000    0.6722    0.6535    0.6500    0.6414    0.6267    0.6250    0.6179    0.5894    0.5733    0.5757    0.5762    0.5828    0.5738    0.5700    0.5710    0.5710    0.5592    0.5461    0.5433    0.5430    0.5377    0.5333    0.5331    0.5132    0.5099    0.5116    0.5066    0.5033
          160000    1.0000    0.8808    0.8571    0.8333    0.8339    0.7848    0.7483    0.7500    0.7500    0.7133    0.6987    0.7133    0.7258    0.7195    0.7276    0.7219    0.7039    0.7000    0.6997    0.7200    0.7228    0.6755    0.6667    0.6776    0.6733    0.6656    0.6379    0.6213    0.6187    0.6133    0.6013    0.5947    0.5954    0.5908    0.5921    0.5927    0.5894    0.5710    0.5607    0.5607    0.5596    0.5578    0.5415    0.5400    0.5351    0.5282    0.5265    0.5232    0.5149    0.5132    0.5132
          165000    1.0000    0.9236    0.8900    0.8405    0.8433    0.8400    0.8000    0.7633    0.7608    0.7442    0.7276    0.7252    0.7342    0.7336    0.7143    0.7152    0.7152    0.7185    0.7270    0.7072    0.6977    0.6833    0.6767    0.6733    0.6733    0.6492    0.6500    0.6433    0.6080    0.6000    0.5993    0.6026    0.6093    0.6054    0.5974    0.5921    0.5875    0.5795    0.5724    0.5667    0.5691    0.5600    0.5600    0.5548    0.5364    0.5397    0.5316    0.5311    0.5314    0.5132    0.5164
          170000    1.0000    0.8900    0.8870    0.8405    0.8007    0.8013    0.7973    0.7633    0.7517    0.7276    0.6954    0.6967    0.7400    0.7375    0.7143    0.7243    0.7200    0.7616    0.7110    0.7020    0.6944    0.6977    0.6977    0.6766    0.6678    0.6321    0.6262    0.6267    0.6267    0.6167    0.6217    0.6131    0.6113    0.6093    0.6060    0.5921    0.5861    0.5822    0.5828    0.5855    0.5733    0.5581    0.5475    0.5400    0.5430    0.5493    0.5395    0.5311    0.5248    0.5267    0.5164
          175000    1.0000    0.8733    0.8767    0.8771    0.8377    0.8173    0.8067    0.7867    0.7708    0.7649    0.7467    0.7261    0.7500    0.7360    0.7309    0.7624    0.7209    0.7063    0.7129    0.7030    0.7007    0.6887    0.6908    0.6700    0.6689    0.6634    0.6346    0.6146    0.6151    0.6146    0.6283    0.6225    0.6167    0.6100    0.6053    0.6020    0.5934    0.5921    0.5967    0.5867    0.5800    0.5733    0.5629    0.5548    0.5545    0.5559    0.5475    0.5413    0.5362    0.5349    0.5331
          180000    1.0000    0.9067    0.8482    0.8510    0.8500    0.8100    0.8046    0.7741    0.7375    0.7409    0.7384    0.7333    0.7276    0.7318    0.7367    0.7327    0.7375    0.7200    0.7228    0.7033    0.7119    0.6898    0.6910    0.6667    0.6711    0.6678    0.6500    0.6300    0.6349    0.6325    0.6288    0.6197    0.6200    0.6133    0.5974    0.5987    0.5927    0.5987    0.5908    0.5733    0.5639    0.5600    0.5615    0.5667    0.5526    0.5461    0.5493    0.5464    0.5446    0.5347    0.5329
          185000    1.0000    0.8967    0.8738    0.8411    0.8133    0.8000    0.7848    0.7874    0.7767    0.7276    0.7185    0.7276    0.7483    0.7583    0.7525    0.7708    0.7733    0.7294    0.7219    0.7063    0.6964    0.6997    0.6908    0.6821    0.6645    0.6300    0.6291    0.6325    0.6403    0.6424    0.6225    0.6250    0.6184    0.6139    0.6167    0.6053    0.6000    0.6000    0.6000    0.5900    0.5809    0.5695    0.5728    0.5757    0.5658    0.5574    0.5512    0.5530    0.5482    0.5479    0.5497
          190000    1.0000    0.9000    0.9000    0.8567    0.8567    0.8179    0.7841    0.7807    0.7841    0.7608    0.7483    0.7500    0.7400    0.7517    0.7442    0.7409    0.7318    0.7195    0.7483    0.7086    0.7195    0.6833    0.6776    0.6800    0.6733    0.6645    0.6556    0.6436    0.6414    0.6382    0.6391    0.6436    0.6217    0.6197    0.6133    0.6164    0.6151    0.5914    0.5902    0.5800    0.5814    0.5855    0.5691    0.5719    0.5662    0.5695    0.5625    0.5695    0.5672    0.5667    0.5648
          195000    1.0000    0.8837    0.8571    0.8538    0.8206    0.8179    0.8140    0.7550    0.7525    0.7533    0.7200    0.7467    0.7567    0.7533    0.7533    0.7426    0.7409    0.7318    0.7233    0.7237    0.7148    0.7043    0.6931    0.6555    0.6568    0.6545    0.6678    0.6678    0.6490    0.6502    0.6490    0.6370    0.6346    0.6316    0.6200    0.6200    0.6200    0.6080    0.5974    0.5941    0.5914    0.5855    0.5888    0.5795    0.5728    0.5752    0.5776    0.5803    0.5847    0.5667    0.5652
          200000    1.0000    0.9064    0.9037    0.8667    0.8272    0.8272    0.8245    0.8007    0.7800    0.7600    0.7483    0.7309    0.7318    0.7583    0.7575    0.7492    0.7409    0.7342    0.7417    0.7067    0.7010    0.7000    0.6977    0.6867    0.6800    0.6678    0.6678    0.6678    0.6601    0.6689    0.6382    0.6382    0.6358    0.6382    0.6370    0.6113    0.6053    0.6000    0.6013    0.6086    0.5902    0.5869    0.5880    0.5875    0.5861    0.5842    0.5833    0.5762    0.5733    0.5753    0.5615
