Calibrating on core 17...
Startup: 0.000000

loopreps\sleep:          0       500      1000      1500      2000      2500      3000      3500      4000      4500      5000      5500      6000      6500      7000      7500      8000      8500      9000      9500     10000     10500     11000     11500     12000     12500     13000     13500     14000     14500     15000     15500     16000     16500     17000     17500     18000     18500     19000     19500     20000     20500     21000     21500     22000     22500     23000     23500     24000     24500     25000
            5000    1.0000    0.0000    0.0033    0.0000    0.0000    0.0000    0.0166    0.0033    0.0000    0.0033    0.0000    0.0033    0.0000    0.0033    0.0033    0.0000    0.0000    0.0033    0.0000    0.0000    0.0000    0.0033    0.0000    0.0000    0.0033    0.0000    0.0000    0.0033    0.0000    0.0000    0.0000    0.0000    0.0033    0.0000    0.0000    0.0000    0.0000    0.0000    0.0033    0.0000    0.0000    0.0000    0.0000    0.0033    0.0000    0.0000    0.0000    0.0033    0.0000    0.0000    0.0000
           10000    1.0000    0.3333    0.2933    0.2200    0.2000    0.1927    0.1672    0.1667    0.1528    0.1262    0.1267    0.1233    0.1130    0.1100    0.0997    0.0933    0.0900    0.0930    0.0867    0.0800    0.0764    0.0767    0.0700    0.0728    0.0698    0.0631    0.0631    0.0600    0.0598    0.0598    0.0565    0.0532    0.0533    0.0533    0.0498    0.0498    0.0467    0.0467    0.0464    0.0465    0.0432    0.0430    0.0432    0.0401    0.0265    0.0365    0.0397    0.0364    0.0365    0.0332    0.0365
           15000    1.0000    0.4600    0.4020    0.4000    0.3967    0.3000    0.2857    0.2867    0.2492    0.2500    0.2359    0.2033    0.1993    0.2000    0.1900    0.1794    0.1661    0.1661    0.1533    0.1533    0.1528    0.1362    0.1333    0.1333    0.1262    0.1233    0.1225    0.1130    0.1100    0.1126    0.1096    0.1030    0.0993    0.1000    0.0963    0.0963    0.0936    0.0864    0.0894    0.0864    0.0831    0.0833    0.0825    0.0792    0.0764    0.0400    0.0764    0.0728    0.0664    0.0432    0.0695
           20000    1.0000    0.5900    0.5033    0.5000    0.4300    0.4286    0.4267    0.3455    0.3322    0.3333    0.3123    0.3000    0.2833    0.2658    0.2525    0.2500    0.2467    0.2259    0.2159    0.2159    0.1987    0.2000    0.2000    0.1788    0.1767    0.1761    0.1728    0.1661    0.1623    0.1561    0.1495    0.1500    0.1495    0.1400    0.1386    0.1362    0.1296    0.1329    0.1291    0.1196    0.1221    0.1200    0.1192    0.1159    0.1100    0.0464    0.1060    0.1089    0.1000    0.0596    0.1000
           25000    1.0000    0.6667    0.6667    0.5467    0.5000    0.5000    0.4585    0.4452    0.4400    0.3900    0.3654    0.3633    0.3621    0.3333    0.3156    0.3067    0.2857    0.2881    0.2857    0.2600    0.2500    0.2492    0.2400    0.2359    0.2359    0.2193    0.2100    0.2100    0.2119    0.2007    0.1921    0.1900    0.1821    0.1827    0.1794    0.1722    0.1683    0.1672    0.1628    0.1600    0.1595    0.1528    0.1485    0.1490    0.1457    0.0767    0.1291    0.1391    0.1258    0.0795    0.1333
           30000    1.0000    0.7110    0.6412    0.6254    0.6246    0.5600    0.4983    0.5000    0.4950    0.4533    0.4482    0.4186    0.3854    0.3833    0.3854    0.3567    0.3389    0.3333    0.3167    0.3123    0.3123    0.2967    0.2781    0.2767    0.2781    0.2633    0.2591    0.2517    0.2367    0.2392    0.2367    0.2285    0.2193    0.2159    0.2119    0.2093    0.2067    0.2000    0.1927    0.1921    0.1921    0.1854    0.1827    0.1788    0.1722    0.0797    0.1722    0.1689    0.1490    0.0831    0.1595
           35000    1.0000    0.7433    0.6833    0.6656    0.6533    0.6000    0.6000    0.5581    0.5017    0.5000    0.5000    0.4600    0.4536    0.4286    0.4047    0.4007    0.4000    0.3800    0.3567    0.3522    0.3510    0.3333    0.3322    0.3212    0.3003    0.3000    0.3000    0.2843    0.2824    0.2724    0.2649    0.2616    0.2600    0.2517    0.2417    0.2400    0.2400    0.2318    0.2292    0.2252    0.2145    0.2119    0.2152    0.2093    0.2000    0.1130    0.1960    0.1954    0.1794    0.1122    0.1815
           40000    1.0000    0.7767    0.7774    0.7600    0.6467    0.6346    0.6367    0.5833    0.5833    0.5548    0.5033    0.5017    0.4983    0.4800    0.4551    0.4385    0.4319    0.4100    0.4120    0.4033    0.3709    0.3679    0.3688    0.3500    0.3500    0.3377    0.3233    0.3156    0.3189    0.3113    0.2990    0.2910    0.2914    0.2781    0.2800    0.2781    0.2591    0.2583    0.2607    0.2483    0.2508    0.2425    0.2351    0.2336    0.2292    0.1196    0.1457    0.1881    0.1728    0.1254    0.1600
           45000    1.0000    0.7209    0.8000    0.7267    0.7276    0.7157    0.6225    0.6133    0.6167    0.5880    0.5700    0.5415    0.5249    0.4983    0.5017    0.4983    0.4567    0.4452    0.4452    0.4214    0.4200    0.4153    0.3833    0.3821    0.3800    0.3709    0.3654    0.3488    0.3455    0.3333    0.3333    0.3322    0.3123    0.3090    0.3079    0.2970    0.2947    0.2914    0.2791    0.2757    0.2772    0.2715    0.2658    0.2583    0.2517    0.1462    0.2000    0.1993    0.1967    0.1485    0.1954
           50000    1.0000    0.7143    0.7467    0.7276    0.7475    0.7033    0.6910    0.6800    0.6279    0.6013    0.6000    0.5980    0.5615    0.5349    0.5282    0.5000    0.5000    0.5000    0.4603    0.4503    0.4500    0.4371    0.4281    0.4219    0.4053    0.3907    0.3920    0.3887    0.3742    0.3609    0.3600    0.3455    0.3477    0.3444    0.3278    0.3212    0.3201    0.3179    0.3090    0.3046    0.2990    0.2900    0.2914    0.2900    0.2715    0.1429    0.1633    0.1960    0.1827    0.1467    0.1595
