Calibrating on core 17...
Startup: 0.000000

loopreps\sleep:          0       500      1000      1500      2000      2500      3000      3500      4000      4500      5000      5500      6000      6500      7000      7500      8000      8500      9000      9500     10000     10500     11000     11500     12000     12500     13000     13500     14000     14500     15000     15500     16000     16500     17000     17500     18000     18500     19000     19500     20000     20500     21000     21500     22000     22500     23000     23500     24000     24500     25000
           55000    1.0000    0.7133    0.7209    0.7291    0.7010    0.6623    0.6611    0.6533    0.6067    0.6113    0.5648    0.5349    0.5316    0.5333    0.5150    0.4833    0.4751    0.4618    0.4533    0.4649    0.4385    0.4120    0.4172    0.4114    0.3974    0.3987    0.3787    0.3642    0.3630    0.3645    0.3588    0.3377    0.3377    0.3322    0.3278    0.3333    0.3179    0.3069    0.3033    0.3033    0.2990    0.2967    0.2833    0.2791    0.2767    0.1722    0.1954    0.2200    0.2033    0.1628    0.1661
           60000    1.0000    0.7400    0.7010    0.7000    0.7291    0.7243    0.6921    0.6246    0.6267    0.6246    0.5880    0.5880    0.5567    0.5349    0.5267    0.5267    0.5116    0.4801    0.4751    0.4751    0.4536    0.4651    0.4385    0.4172    0.4167    0.4167    0.4007    0.4020    0.3854    0.3754    0.3709    0.3696    0.3721    0.3444    0.3455    0.3444    0.3333    0.3400    0.3234    0.3123    0.3156    0.3123    0.3067    0.3013    0.2937    0.1694    0.1967    0.1921    0.1980    0.1628    0.1683
           65000    1.0000    0.7500    0.7567    0.7333    0.7309    0.7333    0.6877    0.6977    0.6645    0.6159    0.6133    0.6113    0.5947    0.5733    0.5500    0.5464    0.5249    0.5233    0.5233    0.4784    0.4768    0.4784    0.4600    0.4633    0.4419    0.4286    0.4238    0.4219    0.4219    0.4007    0.3927    0.3920    0.3808    0.3787    0.3787    0.3555    0.3533    0.3555    0.3467    0.3477    0.3333    0.3278    0.3245    0.3234    0.3267    0.2053    0.2384    0.2433    0.2310    0.1867    0.2079
           70000    1.0000    0.7967    0.7324    0.7417    0.7291    0.7086    0.7067    0.7053    0.6833    0.6711    0.6379    0.6258    0.5993    0.6000    0.6026    0.5567    0.5464    0.5449    0.5216    0.5232    0.5166    0.4850    0.4801    0.4800    0.4735    0.4651    0.4437    0.4452    0.4286    0.4290    0.4305    0.4020    0.4000    0.4000    0.3887    0.3867    0.3861    0.3667    0.3633    0.3654    0.3609    0.3567    0.3444    0.3422    0.3333    0.2000    0.2233    0.2351    0.2252    0.1887    0.2060
           75000    1.0000    0.8233    0.7020    0.7000    0.7000    0.7608    0.7550    0.7110    0.6867    0.6833    0.6844    0.6512    0.6225    0.6187    0.5927    0.5914    0.5900    0.5497    0.5415    0.5415    0.5333    0.5200    0.5083    0.4983    0.4801    0.4834    0.4818    0.4636    0.4503    0.4470    0.4338    0.4333    0.4338    0.4139    0.4053    0.4067    0.4020    0.3953    0.3867    0.3816    0.3721    0.3700    0.3721    0.3621    0.3520    0.2259    0.2244    0.2343    0.2400    0.2700    0.2079
           80000    1.0000    0.7774    0.7375    0.7209    0.7741    0.7774    0.7748    0.7367    0.7233    0.7000    0.6667    0.6645    0.6678    0.6379    0.6093    0.6080    0.5967    0.5833    0.5828    0.5563    0.5382    0.5382    0.5380    0.5199    0.5083    0.4983    0.4834    0.4817    0.4834    0.4636    0.4518    0.4518    0.4452    0.4385    0.4338    0.4252    0.4125    0.4106    0.4125    0.4000    0.3920    0.3907    0.3762    0.3795    0.3742    0.2267    0.2417    0.2425    0.2425    0.2133    0.2167
           85000    1.0000    0.8000    0.8000    0.7276    0.7324    0.7442    0.7367    0.7351    0.7110    0.7043    0.6944    0.6811    0.6656    0.6523    0.6512    0.6325    0.6007    0.6000    0.5980    0.5781    0.5728    0.5563    0.5364    0.5347    0.5364    0.5199    0.5033    0.5000    0.4934    0.4833    0.4850    0.4735    0.4533    0.4551    0.4533    0.4422    0.4385    0.4286    0.4158    0.4172    0.4172    0.4059    0.3960    0.3933    0.3907    0.2492    0.2500    0.2649    0.2739    0.2673    0.2341
           90000    1.0000    0.8106    0.7267    0.7309    0.7367    0.7400    0.7508    0.7500    0.7400    0.7276    0.7285    0.7067    0.6722    0.6667    0.6656    0.6400    0.6379    0.6159    0.5927    0.5927    0.5908    0.5767    0.5644    0.5500    0.5430    0.5331    0.5333    0.5248    0.5017    0.5000    0.5000    0.4833    0.4850    0.4718    0.4570    0.4567    0.4585    0.4474    0.4419    0.4309    0.4286    0.4219    0.4200    0.4158    0.3940    0.2458    0.2458    0.2433    0.2475    0.2733    0.2351
           95000    1.0000    0.8167    0.8200    0.7807    0.7641    0.7733    0.7391    0.7375    0.7300    0.6921    0.6910    0.6512    0.6500    0.6556    0.6258    0.6238    0.6225    0.6033    0.5980    0.5861    0.5695    0.5615    0.5629    0.5581    0.5380    0.5298    0.5249    0.5050    0.4950    0.5000    0.4800    0.4801    0.4801    0.4752    0.4752    0.4667    0.4572    0.4533    0.4518    0.4521    0.4400    0.4342    0.4352    0.4257    0.4205    0.2781    0.2791    0.2805    0.2824    0.2781    0.2558
          100000    1.0000    0.7641    0.7500    0.7500    0.7375    0.7475    0.7367    0.7367    0.7342    0.7000    0.6865    0.6722    0.6667    0.6533    0.6502    0.6412    0.6192    0.6126    0.6047    0.6047    0.5894    0.5767    0.5681    0.5548    0.5530    0.5600    0.5183    0.5132    0.5200    0.5116    0.4983    0.4983    0.4900    0.4884    0.4868    0.4833    0.4770    0.4684    0.4671    0.4603    0.4572    0.4551    0.4356    0.4338    0.4300    0.2733    0.2848    0.2957    0.2914    0.2824    0.2550
          105000    1.0000    0.8837    0.7708    0.7674    0.7700    0.7708    0.7708    0.7508    0.7375    0.7157    0.7195    0.7133    0.6832    0.6633    0.6533    0.6467    0.6346    0.6279    0.6172    0.6200    0.6013    0.5920    0.5733    0.5596    0.5500    0.5415    0.5316    0.5333    0.5199    0.5133    0.5116    0.5050    0.5083    0.5017    0.4901    0.4884    0.4834    0.4850    0.4784    0.4719    0.4704    0.4507    0.4500    0.4518    0.4437    0.2990    0.2867    0.2957    0.3013    0.3036    0.2706
          110000    1.0000    0.8333    0.7914    0.7800    0.7715    0.7367    0.7375    0.7367    0.7224    0.6987    0.6921    0.6867    0.6811    0.6755    0.6502    0.6358    0.6279    0.6258    0.6213    0.6026    0.5875    0.5833    0.5700    0.5681    0.5548    0.5349    0.5380    0.5333    0.5314    0.5282    0.5184    0.5116    0.5116    0.5099    0.5017    0.4917    0.4850    0.4785    0.4768    0.4754    0.4669    0.4518    0.4551    0.4503    0.4437    0.3013    0.3046    0.3013    0.3179    0.3023    0.2791
          115000    1.0000    0.8467    0.8439    0.7867    0.7848    0.7608    0.7342    0.7467    0.7200    0.7129    0.7076    0.6811    0.6767    0.6777    0.6667    0.6611    0.6403    0.6321    0.6213    0.6225    0.6080    0.5914    0.5748    0.5667    0.5644    0.5596    0.5515    0.5433    0.5449    0.5413    0.5347    0.5298    0.5182    0.5133    0.5083    0.5099    0.5067    0.4967    0.4967    0.4751    0.4600    0.4603    0.4702    0.4567    0.4536    0.3256    0.3069    0.3168    0.3168    0.3388    0.2967
          120000    1.0000    0.8638    0.8000    0.7575    0.7333    0.7333    0.7741    0.7342    0.7200    0.7243    0.7176    0.6954    0.6854    0.6722    0.6678    0.6611    0.6556    0.6445    0.6213    0.6192    0.6100    0.5993    0.5927    0.5681    0.5658    0.5677    0.5648    0.5615    0.5563    0.5446    0.5430    0.5397    0.5347    0.5282    0.5197    0.5167    0.5083    0.5099    0.4950    0.4833    0.4803    0.4834    0.4752    0.4800    0.4651    0.3135    0.3278    0.3245    0.3224    0.3179    0.2900
          125000    1.0000    0.8571    0.8571    0.8405    0.7575    0.7774    0.7774    0.7367    0.7342    0.7233    0.7143    0.6877    0.6844    0.6854    0.6800    0.6611    0.6523    0.6490    0.6424    0.6312    0.6060    0.6026    0.5980    0.5927    0.5921    0.5728    0.5710    0.5691    0.5581    0.5629    0.5497    0.5464    0.5449    0.5449    0.5397    0.5199    0.5180    0.4983    0.4933    0.4967    0.5000    0.4901    0.4817    0.4834    0.4818    0.3399    0.3344    0.3333    0.3322    0.3257    0.3156
          130000    1.0000    0.8167    0.8007    0.8000    0.7833    0.7600    0.7633    0.7375    0.7367    0.7342    0.7043    0.6867    0.6933    0.6854    0.6877    0.6766    0.6578    0.6424    0.6367    0.6304    0.6267    0.6139    0.5993    0.6047    0.5974    0.5993    0.5880    0.5743    0.5767    0.5691    0.5667    0.5625    0.5500    0.5461    0.5347    0.5314    0.5133    0.5166    0.5083    0.5099    0.5083    0.5050    0.4951    0.4900    0.4850    0.3355    0.3498    0.3400    0.3488    0.3399    0.3067
          135000    1.0000    0.9133    0.8272    0.8140    0.8106    0.7715    0.7674    0.7409    0.7010    0.6844    0.6833    0.6767    0.6921    0.6854    0.6755    0.6744    0.6777    0.6633    0.6412    0.6312    0.6279    0.6258    0.6258    0.6067    0.5960    0.5980    0.5900    0.5908    0.5875    0.5724    0.5728    0.5695    0.5695    0.5585    0.5316    0.5246    0.5133    0.5200    0.5216    0.5166    0.5099    0.5099    0.5083    0.5083    0.4934    0.3543    0.3467    0.3555    0.3564    0.3477    0.3244
          140000    1.0000    0.8667    0.8339    0.8339    0.7715    0.7659    0.7309    0.7559    0.7417    0.7133    0.6877    0.6821    0.6867    0.6722    0.6711    0.6733    0.6678    0.6601    0.6555    0.6379    0.6291    0.6246    0.6279    0.6192    0.6033    0.5960    0.5947    0.5960    0.5967    0.5927    0.5814    0.5667    0.5667    0.5533    0.5467    0.5349    0.5232    0.5133    0.5199    0.5199    0.3940    0.3849    0.3787    0.3841    0.3841    0.3767    0.3663    0.3500    0.3621    0.3355    0.3522
          145000    1.0000    0.8576    0.8738    0.8333    0.8239    0.7980    0.7633    0.7367    0.7375    0.7276    0.6900    0.6623    0.6545    0.6733    0.6611    0.6711    0.6578    0.6523    0.6545    0.6535    0.6400    0.6337    0.6213    0.6139    0.6126    0.6126    0.6146    0.6026    0.6013    0.5967    0.5954    0.5880    0.5533    0.5500    0.5400    0.5430    0.5364    0.5281    0.5316    0.5232    0.4205    0.3953    0.3927    0.3914    0.3833    0.3808    0.3787    0.3767    0.3564    0.3500    0.3630
          150000    1.0000    0.8874    0.8339    0.8140    0.7793    0.7774    0.7774    0.7243    0.6997    0.7000    0.6777    0.6667    0.6623    0.6700    0.6667    0.6656    0.6733    0.6700    0.6467    0.6533    0.6535    0.6391    0.6421    0.6179    0.6179    0.6213    0.6113    0.6146    0.6067    0.5888    0.5888    0.5767    0.5667    0.5548    0.5397    0.5316    0.5364    0.5428    0.5446    0.5282    0.4191    0.4020    0.4033    0.3974    0.3940    0.3729    0.3833    0.3642    0.3775    0.3754    0.3729
          155000    1.0000    0.8870    0.8804    0.8671    0.8067    0.7900    0.7900    0.7741    0.7442    0.7129    0.7076    0.6777    0.6767    0.6689    0.6832    0.6722    0.6689    0.6667    0.6744    0.6667    0.6512    0.6457    0.6445    0.6379    0.6457    0.6279    0.6200    0.6225    0.6172    0.6100    0.5842    0.5733    0.5600    0.5633    0.5581    0.5578    0.5512    0.5449    0.5397    0.5461    0.4437    0.4040    0.4086    0.4059    0.4059    0.3987    0.3795    0.3754    0.3775    0.3783    0.3828
          160000    1.0000    0.8771    0.8333    0.8339    0.8272    0.7973    0.7483    0.7500    0.7219    0.7133    0.7110    0.6811    0.6711    0.6611    0.6799    0.6877    0.6777    0.6634    0.6678    0.6667    0.6645    0.6589    0.6469    0.6424    0.6370    0.6346    0.6304    0.6113    0.6040    0.6000    0.5867    0.5861    0.5677    0.5533    0.5615    0.5615    0.5578    0.5512    0.5446    0.5433    0.4352    0.4200    0.4167    0.3987    0.4073    0.3894    0.4007    0.3953    0.3828    0.3940    0.4026
          165000    1.0000    0.9103    0.8609    0.8428    0.8405    0.8173    0.8000    0.7674    0.7508    0.7219    0.7209    0.7167    0.6877    0.6755    0.6844    0.6788    0.6777    0.6766    0.6645    0.6733    0.6645    0.6611    0.6589    0.6556    0.6391    0.6403    0.6370    0.6300    0.6133    0.5921    0.5880    0.5767    0.5714    0.5809    0.5681    0.5629    0.5658    0.5625    0.5596    0.5479    0.4452    0.4186    0.4172    0.4106    0.4033    0.3967    0.4086    0.4020    0.4059    0.4007    0.4186
          170000    1.0000    0.8900    0.8800    0.8533    0.8046    0.7973    0.7641    0.7633    0.7616    0.7233    0.6954    0.6944    0.6887    0.6821    0.6977    0.6811    0.6811    0.6744    0.6811    0.6800    0.6611    0.6623    0.6556    0.6578    0.6556    0.6391    0.6271    0.6217    0.6133    0.6067    0.5875    0.5781    0.5596    0.5822    0.5767    0.5748    0.5672    0.5648    0.5578    0.5545    0.4585    0.4286    0.4219    0.4178    0.4252    0.4205    0.4106    0.4153    0.4145    0.4145    0.4181
          175000    1.0000    0.8671    0.8900    0.8600    0.8472    0.8272    0.7933    0.7682    0.7674    0.7575    0.7300    0.6997    0.6933    0.6877    0.6887    0.6877    0.6842    0.6788    0.6811    0.6755    0.6833    0.6767    0.6601    0.6600    0.6568    0.6567    0.6490    0.6139    0.6113    0.6000    0.6020    0.5960    0.5900    0.5828    0.5776    0.5814    0.5809    0.5700    0.5581    0.5578    0.4669    0.4441    0.4385    0.4252    0.4300    0.4252    0.4238    0.4257    0.4224    0.4167    0.4191
          180000    1.0000    0.9070    0.8675    0.8444    0.8100    0.8073    0.8079    0.7767    0.7384    0.7400    0.7195    0.7086    0.7076    0.6910    0.6987    0.6944    0.6954    0.6997    0.6865    0.6788    0.6844    0.6711    0.6744    0.6689    0.6513    0.6480    0.6349    0.6316    0.6133    0.6020    0.6033    0.6026    0.5888    0.5967    0.5875    0.5809    0.5738    0.5743    0.5743    0.5639    0.4603    0.4433    0.4500    0.4419    0.4385    0.4375    0.4319    0.4323    0.4257    0.4290    0.4205
          185000    1.0000    0.9000    0.8967    0.8837    0.8411    0.8140    0.8140    0.8007    0.7741    0.7417    0.7333    0.7119    0.7086    0.7053    0.7043    0.6977    0.6944    0.6877    0.6954    0.6944    0.6921    0.6744    0.6811    0.6744    0.6633    0.6457    0.6304    0.6246    0.6205    0.6146    0.6167    0.6033    0.6060    0.5987    0.5960    0.5921    0.5789    0.5767    0.5757    0.5743    0.4834    0.4470    0.4554    0.4503    0.4470    0.4455    0.4415    0.4419    0.4371    0.4319    0.4323
          190000    1.0000    0.8970    0.8571    0.8567    0.8538    0.8306    0.7833    0.7815    0.7583    0.7500    0.7500    0.7176    0.7043    0.6954    0.7043    0.7076    0.7020    0.6987    0.6944    0.6987    0.6854    0.6875    0.6777    0.6667    0.6612    0.6512    0.6469    0.6133    0.6066    0.6113    0.6060    0.6113    0.6053    0.5993    0.5967    0.5927    0.5980    0.5847    0.5789    0.5743    0.4868    0.4618    0.4587    0.4521    0.4533    0.4500    0.4455    0.4470    0.4404    0.4356    0.4375
          195000    1.0000    0.9172    0.8907    0.8638    0.8638    0.8433    0.8179    0.7914    0.7741    0.7450    0.7467    0.7409    0.7209    0.7110    0.7076    0.7043    0.7076    0.7020    0.6967    0.6865    0.6944    0.6887    0.6931    0.6711    0.6512    0.6349    0.6445    0.6346    0.6337    0.6187    0.6246    0.6172    0.6205    0.6151    0.6033    0.5974    0.5941    0.5934    0.5941    0.5757    0.4901    0.4605    0.4585    0.4653    0.4572    0.4470    0.4507    0.4539    0.4518    0.4470    0.4485
          200000    1.0000    0.9067    0.9003    0.8742    0.8306    0.8245    0.8000    0.7900    0.7933    0.7616    0.7309    0.7309    0.7237    0.7167    0.7119    0.7067    0.7020    0.7100    0.7000    0.7020    0.6921    0.6844    0.6821    0.6755    0.6689    0.6412    0.6358    0.6233    0.6346    0.6436    0.6304    0.6187    0.6151    0.6086    0.6126    0.6126    0.5987    0.5974    0.5921    0.5833    0.5828    0.5842    0.5738    0.5691    0.5625    0.5667    0.5705    0.5738    0.5667    0.5667    0.5667
