Calibrating on core 3...
Startup: 0.000000

loopreps\sleep:          0       500      1000      1500      2000      2500      3000      3500      4000      4500      5000      5500      6000      6500      7000      7500      8000      8500      9000      9500     10000     10500     11000     11500     12000     12500     13000     13500     14000     14500     15000     15500     16000     16500     17000     17500     18000     18500     19000     19500     20000     20500     21000     21500     22000     22500     23000     23500     24000     24500     25000
          110000    1.0000    0.8306    0.7967    0.7700    0.7450    0.6987    0.6678    0.6700    0.6467    0.6279    0.6944    0.6811    0.6821    0.6733    0.6567    0.6225    0.6179    0.6225    0.6159    0.6080    0.5914    0.5828    0.5842    0.5767    0.5633    0.5530    0.5479    0.5464    0.5333    0.5329    0.5232    0.5066    0.5083    0.5017    0.5017    0.4917    0.4901    0.4884    0.4834    0.4801    0.4767    0.4684    0.4638    0.4567    0.4518    0.4570    0.4404    0.4371    0.4385    0.4352    0.4286
          115000    1.0000    0.8510    0.8400    0.7841    0.7867    0.7841    0.6944    0.6877    0.6800    0.6478    0.6467    0.6200    0.6512    0.6512    0.6502    0.6445    0.6279    0.6113    0.6060    0.6080    0.5993    0.5960    0.5776    0.5681    0.5644    0.5644    0.5548    0.5415    0.5333    0.5281    0.5215    0.5116    0.5116    0.5033    0.5000    0.5017    0.4917    0.4933    0.4868    0.4751    0.4716    0.4718    0.4702    0.4587    0.4539    0.4437    0.4352    0.4375    0.4400    0.4257    0.4290
          120000    1.0000    0.8467    0.8278    0.7674    0.7641    0.7358    0.6977    0.6833    0.6611    0.6433    0.6213    0.6346    0.6645    0.6445    0.6300    0.6379    0.6258    0.6225    0.6113    0.6106    0.6026    0.6026    0.5933    0.5842    0.5695    0.5681    0.5581    0.5533    0.5482    0.5333    0.5249    0.5265    0.5183    0.5182    0.5199    0.5083    0.5033    0.5033    0.4967    0.4917    0.4834    0.4817    0.4719    0.4700    0.4633    0.4507    0.4525    0.4533    0.4452    0.4470    0.4371
          125000    1.0000    0.8571    0.8571    0.8510    0.7874    0.7508    0.7483    0.7067    0.7043    0.6910    0.6400    0.6667    0.6656    0.6346    0.6445    0.6312    0.6159    0.6167    0.6146    0.6133    0.6146    0.6007    0.6013    0.5914    0.5927    0.5781    0.5578    0.5585    0.5530    0.5433    0.5413    0.5364    0.5331    0.5248    0.5248    0.5232    0.5116    0.5000    0.4967    0.5033    0.5017    0.4851    0.4784    0.4718    0.4686    0.4684    0.4682    0.4575    0.4518    0.4539    0.4507
          130000    1.0000    0.8367    0.8007    0.8000    0.7774    0.7492    0.7110    0.6977    0.6700    0.6811    0.6656    0.6391    0.6556    0.6346    0.6358    0.6246    0.6213    0.6200    0.6267    0.6221    0.6238    0.6126    0.6026    0.5914    0.5795    0.5828    0.5776    0.5633    0.5548    0.5530    0.5512    0.5545    0.5464    0.5430    0.5382    0.5263    0.5233    0.5182    0.5115    0.5050    0.5017    0.4917    0.4836    0.4884    0.4784    0.4785    0.4751    0.4704    0.4671    0.4600    0.4570
          135000    1.0000    0.9236    0.8667    0.8113    0.8133    0.7700    0.7649    0.7600    0.6900    0.6833    0.6844    0.6567    0.6500    0.6279    0.6040    0.5920    0.5914    0.5847    0.6139    0.6233    0.6139    0.6146    0.6172    0.6067    0.5880    0.5842    0.5809    0.5767    0.5724    0.5615    0.5596    0.5548    0.5497    0.5530    0.5413    0.5249    0.5233    0.5263    0.5263    0.5167    0.5000    0.4950    0.4901    0.4900    0.4884    0.4833    0.4768    0.4754    0.4733    0.4737    0.4669
          140000    1.0000    0.8638    0.8400    0.8140    0.7967    0.7508    0.7233    0.7243    0.7076    0.6877    0.6512    0.6478    0.6400    0.7110    0.7176    0.6811    0.6700    0.6811    0.5980    0.5828    0.5629    0.5611    0.5548    0.5662    0.5533    0.5648    0.5677    0.5748    0.5714    0.5563    0.5530    0.5482    0.5433    0.5479    0.5413    0.5300    0.5183    0.5232    0.5246    0.5300    0.5249    0.5150    0.5050    0.4983    0.4950    0.4884    0.4801    0.4735    0.4651    0.4638    0.4718
          145000    1.0000    0.8738    0.8767    0.8472    0.8233    0.8140    0.7674    0.7367    0.7375    0.7167    0.7010    0.6623    0.6611    0.6358    0.6346    0.6325    0.5914    0.5814    0.5795    0.5662    0.5662    0.5563    0.5382    0.5364    0.5548    0.5548    0.5596    0.5644    0.5658    0.5667    0.5629    0.5530    0.5515    0.5500    0.5380    0.5344    0.5380    0.5446    0.5300    0.5249    0.5263    0.5282    0.5148    0.4983    0.4800    0.4901    0.4901    0.4836    0.4820    0.4787    0.4716
          150000    1.0000    0.8738    0.8400    0.8179    0.7807    0.7767    0.7767    0.7351    0.7020    0.6977    0.6844    0.6645    0.6589    0.6093    0.6146    0.6113    0.6013    0.5861    0.5686    0.5644    0.5512    0.5482    0.5482    0.5364    0.5615    0.5681    0.5662    0.5757    0.5728    0.5662    0.5757    0.5762    0.5600    0.5563    0.5449    0.5452    0.5497    0.5430    0.5413    0.5281    0.5263    0.5230    0.5216    0.5116    0.4967    0.4900    0.4834    0.4836    0.4933    0.4868    0.4801
          155000    1.0000    0.9007    0.8800    0.8638    0.8206    0.7900    0.7867    0.7608    0.7409    0.7243    0.6967    0.6844    0.6811    0.6755    0.6379    0.6246    0.6200    0.6026    0.6013    0.5914    0.5662    0.5629    0.5596    0.5563    0.5497    0.5795    0.5714    0.5743    0.5781    0.5867    0.5776    0.5710    0.5648    0.5526    0.5667    0.5629    0.5512    0.5449    0.5493    0.5497    0.5428    0.5164    0.4967    0.5050    0.5083    0.5050    0.4983    0.4967    0.4901    0.4884    0.4917
          160000    1.0000    0.8771    0.8344    0.8333    0.8272    0.8000    0.7517    0.7500    0.7309    0.7143    0.7110    0.6767    0.6545    0.6512    0.6312    0.6267    0.6133    0.6013    0.5814    0.5861    0.5781    0.5600    0.5581    0.5530    0.5500    0.5743    0.5800    0.5809    0.5762    0.5867    0.5833    0.5770    0.5767    0.5625    0.5728    0.5648    0.5596    0.5467    0.5377    0.5382    0.5415    0.5300    0.5216    0.5098    0.5033    0.5066    0.5066    0.5116    0.5000    0.4933    0.4917
          165000    1.0000    0.9167    0.8576    0.8395    0.8339    0.8040    0.7748    0.7500    0.7508    0.7209    0.7143    0.7200    0.6900    0.6667    0.6601    0.6400    0.6400    0.6358    0.6047    0.5927    0.5914    0.5847    0.5743    0.5648    0.5710    0.5814    0.5767    0.5767    0.5789    0.5842    0.5814    0.5781    0.5748    0.5833    0.5776    0.5581    0.5578    0.5596    0.5541    0.5449    0.5331    0.5296    0.5233    0.5232    0.5199    0.5131    0.5100    0.5083    0.5050    0.5067    0.4950
          170000    1.0000    0.8900    0.8837    0.8505    0.8073    0.8000    0.7748    0.7625    0.7608    0.7367    0.7176    0.6954    0.6777    0.6667    0.6567    0.6325    0.6192    0.6213    0.6126    0.5974    0.5795    0.5781    0.5662    0.5644    0.5700    0.5908    0.5795    0.5861    0.5847    0.5947    0.5902    0.5822    0.5814    0.5833    0.5809    0.5714    0.5530    0.5633    0.5512    0.5515    0.5479    0.5282    0.5248    0.5216    0.5183    0.5248    0.5164    0.5082    0.5132    0.5082    0.5033
          175000    1.0000    0.8837    0.8800    0.8538    0.8300    0.8106    0.7914    0.7608    0.7608    0.7558    0.7300    0.7010    0.6954    0.6800    0.6800    0.6777    0.6400    0.6279    0.6279    0.6133    0.6080    0.5980    0.5814    0.5767    0.5781    0.5861    0.5861    0.5861    0.5980    0.5927    0.5947    0.6013    0.5842    0.5767    0.5710    0.5724    0.5748    0.5578    0.5530    0.5479    0.5464    0.5415    0.5410    0.5314    0.5316    0.5263    0.5249    0.5246    0.5115    0.5083    0.5066
          180000    1.0000    0.9003    0.8638    0.8500    0.8200    0.8100    0.8073    0.7848    0.7400    0.7384    0.7300    0.7076    0.7067    0.6567    0.6556    0.6568    0.6457    0.6321    0.6159    0.6060    0.5953    0.5927    0.5908    0.5762    0.5908    0.5947    0.5980    0.5927    0.6047    0.5967    0.5993    0.6033    0.5886    0.5908    0.5762    0.5842    0.5757    0.5714    0.5648    0.5530    0.5428    0.5467    0.5380    0.5395    0.5362    0.5318    0.5265    0.5249    0.5180    0.5197    0.5116
          185000    1.0000    0.9070    0.8767    0.8704    0.8311    0.8000    0.8046    0.7967    0.7674    0.7384    0.7333    0.7133    0.7067    0.7176    0.6833    0.6667    0.6645    0.6457    0.6433    0.6367    0.6126    0.6020    0.5993    0.5980    0.5894    0.5947    0.6007    0.6040    0.5980    0.6026    0.6106    0.6013    0.5894    0.5875    0.5789    0.5710    0.5644    0.5625    0.5625    0.5578    0.5545    0.5464    0.5461    0.5415    0.5449    0.5382    0.5329    0.5296    0.5233    0.5232    0.5216
          190000    1.0000    0.8970    0.8642    0.8567    0.8567    0.8372    0.7841    0.7815    0.7692    0.7500    0.7475    0.7200    0.6921    0.6944    0.6755    0.6689    0.6556    0.6412    0.6271    0.6267    0.6225    0.6013    0.5933    0.5927    0.5847    0.6026    0.6060    0.6073    0.6100    0.6080    0.6146    0.6060    0.5974    0.5847    0.5833    0.5867    0.5267    0.5710    0.5567    0.5592    0.5559    0.5497    0.5541    0.5449    0.5395    0.5428    0.5377    0.5382    0.5300    0.5263    0.5265
          195000    1.0000    0.9200    0.8775    0.8405    0.8439    0.8344    0.8100    0.7881    0.7674    0.7475    0.7425    0.7442    0.7200    0.7053    0.7010    0.6788    0.6788    0.6755    0.6478    0.6333    0.6316    0.6271    0.6139    0.6040    0.6073    0.6080    0.6047    0.6106    0.6139    0.6060    0.6113    0.6040    0.6007    0.5974    0.5776    0.5215    0.5200    0.5733    0.5705    0.5662    0.5596    0.5629    0.5563    0.5541    0.5526    0.5461    0.5395    0.5362    0.5382    0.5314    0.5215
          200000    1.0000    0.9037    0.9067    0.8808    0.8339    0.8239    0.8106    0.7900    0.7933    0.7649    0.7417    0.7309    0.7233    0.7030    0.6944    0.6766    0.6589    0.6567    0.6578    0.6337    0.6179    0.6179    0.6060    0.6026    0.6040    0.6080    0.6118    0.6167    0.6151    0.6172    0.6126    0.5993    0.5933    0.5795    0.5822    0.5748    0.5776    0.5728    0.5644    0.5700    0.5776    0.5662    0.5559    0.5596    0.5545    0.5497    0.5430    0.5475    0.5425    0.5364    0.5333
