Calibrating on core 3...
Startup: 0.000000

loopreps\sleep:          0       500      1000      1500      2000      2500      3000      3500      4000      4500      5000      5500      6000      6500      7000      7500      8000      8500      9000      9500     10000     10500     11000     11500     12000     12500     13000     13500     14000     14500     15000     15500     16000     16500     17000     17500     18000     18500     19000     19500     20000     20500     21000     21500     22000     22500     23000     23500     24000     24500     25000
            5000    1.0000    0.0133    0.1672    0.0299    0.0533    0.0870    0.1229    0.0633    0.1600    0.1267    0.1325    0.1271    0.1167    0.1133    0.1063    0.0963    0.0967    0.1000    0.0900    0.0800    0.0797    0.0800    0.0731    0.0733    0.0700    0.0629    0.0631    0.0600    0.0600    0.0596    0.0565    0.0567    0.0500    0.0533    0.0530    0.0497    0.0500    0.0498    0.0435    0.0465    0.0430    0.0432    0.0399    0.0430    0.0401    0.0399    0.0367    0.0397    0.0364    0.0365    0.0367
           10000    1.0000    0.3289    0.2533    0.2500    0.2500    0.1860    0.1767    0.1800    0.1433    0.1433    0.1267    0.1133    0.1130    0.1130    0.1096    0.0970    0.0930    0.0900    0.0833    0.0833    0.0833    0.0731    0.0731    0.0698    0.0695    0.0667    0.0631    0.0600    0.0598    0.0629    0.0567    0.0565    0.0533    0.0532    0.0500    0.0500    0.0532    0.0433    0.0464    0.0465    0.0433    0.0464    0.0400    0.0429    0.0397    0.0400    0.0399    0.0399    0.0364    0.0396    0.0396
           15000    1.0000    0.4100    0.4000    0.4000    0.2990    0.2567    0.2767    0.1967    0.2492    0.2525    0.2333    0.2226    0.2000    0.1960    0.1806    0.1827    0.1800    0.1600    0.1528    0.1533    0.1433    0.1429    0.1395    0.1262    0.1262    0.1258    0.1200    0.1130    0.1126    0.1100    0.1067    0.1063    0.1030    0.0963    0.0936    0.0963    0.0930    0.0900    0.0894    0.0867    0.0828    0.0833    0.0831    0.0797    0.0762    0.0764    0.0762    0.0733    0.0728    0.0700    0.0695
           20000    1.0000    0.6000    0.5433    0.4718    0.3967    0.4300    0.2767    0.3633    0.3355    0.3333    0.3013    0.3000    0.3000    0.2558    0.2500    0.2525    0.2367    0.2300    0.2226    0.2093    0.2020    0.2000    0.1993    0.1860    0.1761    0.1761    0.1667    0.1667    0.1689    0.1523    0.1490    0.1500    0.1467    0.1433    0.1395    0.1358    0.1296    0.1296    0.1325    0.1229    0.1200    0.1200    0.1159    0.1163    0.1155    0.1089    0.1063    0.1089    0.1063    0.1026    0.1000
           25000    1.0000    0.6656    0.6400    0.5482    0.3833    0.5000    0.3056    0.4385    0.4433    0.3933    0.3654    0.3633    0.3422    0.3333    0.3333    0.3000    0.2857    0.2857    0.2857    0.2667    0.2558    0.2525    0.2359    0.2333    0.2351    0.2193    0.2133    0.2100    0.2027    0.2000    0.1993    0.1887    0.1821    0.1827    0.1821    0.1728    0.1694    0.1667    0.1623    0.1600    0.1600    0.1518    0.1490    0.1485    0.1467    0.1424    0.1429    0.1362    0.1353    0.1333    0.1333
           30000    1.0000    0.7209    0.6246    0.6013    0.3712    0.5548    0.3800    0.4900    0.4618    0.4567    0.4533    0.4153    0.3867    0.3833    0.3800    0.3576    0.3567    0.3344    0.3123    0.3133    0.3123    0.2924    0.2857    0.2767    0.2658    0.2633    0.2658    0.2500    0.2367    0.2392    0.2359    0.2285    0.2267    0.2185    0.2086    0.2067    0.2100    0.1993    0.1927    0.1927    0.1887    0.1848    0.1854    0.1794    0.1728    0.1722    0.1722    0.1667    0.1656    0.1600    0.1589
           35000    1.0000    0.7475    0.7467    0.6567    0.4467    0.6013    0.4385    0.5267    0.5050    0.5000    0.4884    0.4633    0.4600    0.4470    0.3987    0.4000    0.4000    0.3754    0.3733    0.3533    0.3355    0.3333    0.3355    0.3223    0.3046    0.2977    0.2980    0.2867    0.2833    0.2781    0.2625    0.2616    0.2591    0.2500    0.2483    0.2409    0.2326    0.2318    0.2292    0.2277    0.2140    0.2145    0.2133    0.2079    0.2060    0.2020    0.1927    0.1954    0.1933    0.1867    0.1867
           40000    1.0000    0.7741    0.7774    0.6856    0.4850    0.6300    0.4073    0.5700    0.5833    0.5814    0.5083    0.4983    0.5017    0.4667    0.4667    0.4518    0.4133    0.4120    0.4120    0.3967    0.3854    0.3675    0.3642    0.3488    0.3500    0.3488    0.3223    0.3189    0.3179    0.3033    0.3046    0.2970    0.2800    0.2805    0.2800    0.2748    0.2649    0.2583    0.2583    0.2508    0.2483    0.2500    0.2343    0.2326    0.2333    0.2267    0.2259    0.2200    0.2152    0.2100    0.2126
           45000    1.0000    0.7567    0.7010    0.6833    0.5914    0.6500    0.4867    0.5515    0.6133    0.5714    0.5714    0.5695    0.5050    0.5000    0.5000    0.4784    0.4700    0.4567    0.4352    0.4200    0.4219    0.4186    0.3940    0.3821    0.3800    0.3654    0.3621    0.3633    0.3355    0.3344    0.3333    0.3223    0.3200    0.3133    0.3036    0.2947    0.2980    0.2957    0.2824    0.2748    0.2757    0.2673    0.2667    0.2658    0.2508    0.2492    0.2500    0.2450    0.2425    0.2367    0.2351
           50000    1.0000    0.7500    0.7674    0.7033    0.5216    0.6512    0.4667    0.5681    0.5686    0.5681    0.5960    0.5667    0.5615    0.5600    0.5183    0.5000    0.4983    0.4983    0.4733    0.4585    0.4500    0.4267    0.4300    0.4286    0.4007    0.3920    0.3920    0.3775    0.3754    0.3733    0.3531    0.3477    0.3455    0.3444    0.3333    0.3256    0.3212    0.3090    0.3113    0.3090    0.2970    0.2900    0.2890    0.2857    0.2800    0.2805    0.2706    0.2640    0.2649    0.2640    0.2558
           55000    1.0000    0.7143    0.7759    0.7409    0.6246    0.5867    0.5067    0.5100    0.5767    0.5748    0.5867    0.5900    0.5880    0.5814    0.5567    0.5500    0.5249    0.5000    0.5000    0.5000    0.4767    0.4585    0.4536    0.4400    0.4338    0.4352    0.4139    0.3993    0.4000    0.3987    0.3841    0.3821    0.3709    0.3564    0.3576    0.3564    0.3444    0.3344    0.3333    0.3256    0.3223    0.3233    0.3102    0.3033    0.3023    0.3023    0.2947    0.2904    0.2857    0.2748    0.2781
           60000    1.0000    0.7243    0.7276    0.7133    0.5681    0.6333    0.5382    0.5648    0.5781    0.5700    0.5467    0.5482    0.5781    0.5316    0.5300    0.5300    0.5033    0.5066    0.4800    0.4618    0.4585    0.4603    0.4518    0.4286    0.4200    0.4186    0.4053    0.4067    0.4020    0.3754    0.3795    0.3775    0.3663    0.3700    0.3543    0.3455    0.3432    0.3400    0.3377    0.3233    0.3223    0.3212    0.3133    0.3100    0.3046    0.2957    0.2957    0.3013    0.2881    0.2881    0.2796
           65000    1.0000    0.7508    0.7500    0.7209    0.6013    0.6067    0.6013    0.5600    0.5581    0.5833    0.6093    0.6113    0.5800    0.5767    0.5667    0.5265    0.5251    0.5249    0.5116    0.4967    0.4784    0.4768    0.4570    0.4600    0.4570    0.4238    0.4219    0.4238    0.4073    0.4092    0.3967    0.3828    0.3787    0.3808    0.3733    0.3642    0.3555    0.3522    0.3455    0.3433    0.3455    0.3245    0.3245    0.3234    0.3156    0.3189    0.3090    0.3023    0.2970    0.2961    0.2980
           70000    1.0000    0.7807    0.7300    0.7133    0.6478    0.6412    0.5485    0.6126    0.5953    0.6146    0.5980    0.6047    0.5993    0.6013    0.5833    0.5714    0.5500    0.5418    0.5232    0.5199    0.5216    0.4917    0.4800    0.4800    0.4618    0.4620    0.4585    0.4300    0.4290    0.4290    0.4205    0.4172    0.4007    0.3987    0.3887    0.3867    0.3874    0.3700    0.3633    0.3633    0.3531    0.3543    0.3510    0.3355    0.3344    0.3333    0.3311    0.3256    0.3168    0.3156    0.3067
           75000    1.0000    0.8609    0.7391    0.7020    0.7000    0.6346    0.6367    0.5914    0.5600    0.5482    0.5433    0.6436    0.6400    0.6100    0.5914    0.5914    0.5908    0.5648    0.5430    0.5418    0.5215    0.5200    0.5200    0.4901    0.4818    0.4818    0.4735    0.4636    0.4585    0.4452    0.4323    0.4333    0.4352    0.4172    0.4067    0.4053    0.3967    0.3933    0.3940    0.3767    0.3721    0.3700    0.3675    0.3609    0.3564    0.3510    0.3433    0.3400    0.3433    0.3311    0.3267
           80000    1.0000    0.7774    0.7243    0.7100    0.7176    0.6179    0.5867    0.5967    0.5800    0.5960    0.6633    0.6667    0.6645    0.6358    0.6258    0.6100    0.5842    0.5833    0.5833    0.5563    0.5400    0.5380    0.5267    0.5182    0.5200    0.4950    0.4850    0.4834    0.4801    0.4700    0.4585    0.4518    0.4385    0.4367    0.4371    0.4238    0.4120    0.4125    0.4053    0.3987    0.4007    0.3874    0.3783    0.3795    0.3783    0.3688    0.3633    0.3588    0.3498    0.3522    0.3500
           85000    1.0000    0.8000    0.7900    0.7276    0.7267    0.7110    0.6154    0.6133    0.6060    0.5733    0.5833    0.6291    0.6400    0.6358    0.6267    0.6139    0.6120    0.6000    0.5847    0.5762    0.5781    0.5581    0.5347    0.5364    0.5347    0.5183    0.5132    0.5017    0.4833    0.4834    0.4833    0.4700    0.4600    0.4551    0.4455    0.4404    0.4422    0.4305    0.4158    0.4172    0.4158    0.4059    0.4040    0.3933    0.3867    0.3833    0.3854    0.3762    0.3675    0.3663    0.3597
           90000    1.0000    0.7973    0.7425    0.7333    0.7076    0.6700    0.6312    0.6133    0.6113    0.6080    0.6367    0.6258    0.6412    0.6567    0.6478    0.6403    0.6400    0.6267    0.5967    0.5927    0.5914    0.5728    0.5710    0.5548    0.5331    0.5333    0.5333    0.5167    0.5132    0.5000    0.4900    0.4850    0.4833    0.4801    0.4587    0.4585    0.4551    0.4455    0.4437    0.4352    0.4200    0.4200    0.4233    0.4112    0.4053    0.4000    0.3953    0.3894    0.3894    0.3874    0.3721
           95000    1.0000    0.8200    0.8173    0.8033    0.7309    0.6933    0.6900    0.6412    0.6433    0.6133    0.6512    0.6700    0.6391    0.6455    0.6424    0.6113    0.6013    0.5828    0.5767    0.5861    0.5615    0.5548    0.5530    0.5415    0.5367    0.5314    0.5099    0.5017    0.5000    0.4967    0.4901    0.4818    0.4752    0.4633    0.4603    0.4585    0.4455    0.4455    0.4422    0.4404    0.4389    0.4314    0.4276    0.4205    0.4243    0.4233    0.4073    0.4040    0.4040    0.3953    0.3953
          100000    1.0000    0.7633    0.7483    0.7500    0.7467    0.6877    0.6488    0.6225    0.6100    0.6233    0.6133    0.6312    0.6523    0.6500    0.6467    0.6238    0.6133    0.5993    0.5960    0.5867    0.5842    0.5733    0.5559    0.5500    0.5464    0.5382    0.5314    0.5167    0.5183    0.5033    0.5033    0.4967    0.4767    0.4751    0.4751    0.4702    0.4669    0.4600    0.4536    0.4507    0.4518    0.4467    0.4452    0.4338    0.4342    0.4252    0.4272    0.4238    0.4092    0.4079    0.4026
          105000    1.0000    0.8933    0.8133    0.7674    0.7674    0.7133    0.7143    0.7010    0.6412    0.6225    0.6060    0.6545    0.6533    0.6412    0.6325    0.6346    0.6246    0.6267    0.6060    0.5947    0.5875    0.5828    0.5762    0.5700    0.5515    0.5347    0.5385    0.5380    0.5300    0.5116    0.5083    0.5033    0.5017    0.5017    0.4884    0.4752    0.4752    0.4702    0.4719    0.4702    0.4620    0.4533    0.4452    0.4533    0.4448    0.4393    0.4305    0.4257    0.4211    0.4257    0.4139
